"Table","Type","Column","DataType","Size","Nullable","Auto","Default","Comments"
"EVNT","Table","EVNT_HM","INT","10","√","","null","Earthquake Hour and Minutes"
"FLDO","Table","EVNT_ID","INT UNSIGNED","10","√","","null",""
"EVNT","Table","EVNT_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the EVNT table"
"IM","Table","EVNT_ID","INT UNSIGNED","10","√","","null",""
"SEGM","Table","EVNT_ID","INT UNSIGNED","10","√","","null",""
"EVNT","Table","EVNT_MAG","FLOAT","12","√","","null","Earthquake Magnitude"
"EVNT","Table","EVNT_MD","INT","10","√","","null","Earthquake Month and Date"
"EVNT","Table","EVNT_MECH","TINYINT","3","√","","null","Mechanism Based on Rake Angle (5=unkwnown)"
"EVNT","Table","EVNT_MO","FLOAT","12","√","","null","Seismic Moment Mo (dyne.cm)"
"EVNT","Table","EVNT_NM","VARCHAR","250","√","","null","Earthquake Name"
"EVNT","Table","EVNT_RAKE","FLOAT","12","√","","null","Average Rake (deg)"
"EVNT","Table","EVNT_RUP","TINYINT","3","√","","null","Coseismic Surface Rupture: 1=Yes; 0=No; 3=Unknown"
"EVNT","Table","EVNT_STRIKE","FLOAT","12","√","","null","Average Strike (deg)"
"EVNT","Table","EVNT_YR","INT","10","√","","null","Earthquake Year"
"FILE_EXT","Table","FILE_EXT_DESC","VARCHAR","1000","√","","null","File description"
"FILE_EXT","Table","FILE_EXT_DOI","VARCHAR","100","√","","null","DOI pointing to the file location"
"FILE_EXT","Table","FILE_EXT_ID","INT UNSIGNED","10","","√","null",""
"FILE","Table","FILE_FILE","MEDIUMBLOB","16777215","√","","null","Actual file stored as a MEDIUMBLOB"
"OTHR","Table","FILE_ID","INT UNSIGNED","10","√","","null",""
"FLDF","Table","FILE_ID","INT UNSIGNED","10","√","","null",""
"SAMF","Table","FILE_ID","INT UNSIGNED","10","√","","null",""
"TESF","Table","FILE_ID","INT UNSIGNED","10","√","","null",""
"SITF","Table","FILE_ID","INT UNSIGNED","10","√","","null",""
"FILE","Table","FILE_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the FILE table"
"FILE","Table","FILE_NAME","VARCHAR","256","√","","null","File name"
"FILE","Table","FILE_PUB","BIT","1","√","","null","Boolean for storing files privately (0=private, 1=publicly available)"
"FILE","Table","FILE_SIZE","VARCHAR","32","√","","null","File size"
"FILE","Table","FILE_TYPE","VARCHAR","256","√","","null","File type"
"USER","Table","first_name","VARCHAR","30","√","","null","First name"
"FLDD","Table","FLDD_AZIM","FLOAT","12","√","","null","Azimuth of displacement vector (i.e., clockwise vector angle from North)"
"FLDD","Table","FLDD_HDIS","FLOAT","12","√","","null","Horizontal displacement in m"
"FLDD","Table","FLDD_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the FLDD table"
"FLDD","Table","FLDD_LAT","DOUBLE","22","√","","null","Latitude of displacement vector in WGS84 (deg)"
"FLDD","Table","FLDD_LON","DOUBLE","22","√","","null","Longitude of displacement vector in WGS84 (deg)"
"FLDD","Table","FLDD_METH","VARCHAR","1000","√","","null","Method used to derive displacement vectors"
"FLDD","Table","FLDD_REM","VARCHAR","1000","√","","null","Remarks"
"FLDD","Table","FLDD_VDIS","FLOAT","12","√","","null","Vertical displacement in m"
"FLDF","Table","FLDF_DESC","VARCHAR","1000","√","","null","Detailed description of the associated file"
"FLDF","Table","FLDF_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the FLDF table"
"FLDF","Table","FLDF_LAT","DOUBLE","22","√","","null","Latitude of file location in WGS84 (deg)"
"FLDF","Table","FLDF_LON","DOUBLE","22","√","","null","Longitude of file location in WGS84 (deg)"
"FLDM","Table","FLDM_DESC","VARCHAR","1000","√","","null","Observation description (1=Yes, 0=No)"
"FLDM","Table","FLDM_ELEV","FLOAT","12","√","","null","Elevation of liquefaction manifestation in m"
"FLDM","Table","FLDM_GMFR","TINYINT","3","√","","null","Co-located recording station evidences (0=no co-located record, 1=No evidence of liquefaction in the record, 2=Yes evidences of liquefaction in the record, 3=Doubtful evidences)"
"FLDM","Table","FLDM_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the FLDM table"
"FLDM","Table","FLDM_LAT","DOUBLE","22","√","","null","Latitude of liquefaction manifestation in WGS84 (deg)"
"FLDM","Table","FLDM_LON","DOUBLE","22","√","","null","Longitude of liquefaction manifestation in WGS84 (deg)"
"FLDM","Table","FLDM_LTSP","TINYINT","3","√","","null","Indication of lateral spread (1=Yes, 0=No)"
"FLDM","Table","FLDM_SFEV","TINYINT","3","√","","null","Indication of surface manifestation of liquefaction (1=Yes surface manifestation of liquefaction, 0=No surface manifestation of liquefaction - FLDM_SFEV=0 does not mean that liquefaction did not occur, it means that no surface manifestations (e.g. sand boils, gorund cracks) have been observed)"
"FLDM","Table","FLDM_SNBL","TINYINT","3","√","","null","Indication of sand boil (1=Yes, 0=No)"
"FLDM","Table","FLDM_STDM","TINYINT","3","√","","null","Indication of structural damage (1=Yes, 0=No)"
"FLDM","Table","FLDM_STTL","TINYINT","3","√","","null","Indication of settlement (1=Yes, 0=No)"
"FLDO","Table","FLDO_DESC","VARCHAR","5000","√","","null","Liquefaction manifestation (or lack thereof) description"
"GMIM","Table","FLDO_ID","INT UNSIGNED","10","√","","null",""
"OBSM","Table","FLDO_ID","INT UNSIGNED","10","√","","null",""
"OBSC","Table","FLDO_ID","INT UNSIGNED","10","√","","null",""
"FLDD","Table","FLDO_ID","INT UNSIGNED","10","√","","null",""
"FLDP","Table","FLDO_ID","INT UNSIGNED","10","√","","null",""
"FLDM","Table","FLDO_ID","INT UNSIGNED","10","√","","null",""
"FLDO","Table","FLDO_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the FLDO table"
"FLDF","Table","FLDO_ID","INT UNSIGNED","10","√","","null",""
"OBSR","Table","FLDO_ID","INT UNSIGNED","10","√","","null",""
"FLDO","Table","FLDO_REVW","TINYINT","3","√","","null","FLDO review status (1 = reviewed / 0 = not reviewed)"
"FLDO","Table","FLDO_STAT","TINYINT","3","√","","null","FLDO upload status (1 = submitted / 0 = not submitted)"
"FLDP","Table","FLDP_ID","INT UNSIGNED","10","","√","null",""
"GIND","Table","GIND_DPTH","FLOAT","12","√","","null","Depth of measurement in m"
"GIND","Table","GIND_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the GIND table"
"GIND","Table","GIND_VP","FLOAT","12","√","","null","P-wave velocity in m/s"
"GIND","Table","GIND_VS","FLOAT","12","√","","null","Shear-wave velocity in m/s"
"GINV","Table","GINV_CONF","VARCHAR","1000","√","","null","Test configuration"
"GINV","Table","GINV_CREW","VARCHAR","100","√","","null","Name of logger / organization"
"GINV","Table","GINV_ENDD","DATETIME","19","√","","null","End date of activity"
"GINV","Table","GINV_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the GINV table"
"GIND","Table","GINV_ID","INT UNSIGNED","10","√","","null",""
"GINV","Table","GINV_STAR","DATETIME","19","√","","null","Start date of activity"
"GINV","Table","GINV_TYPE","VARCHAR","50","√","","null","Test type (e.g., Downhole, Crosshole, Suspension logging)"
"GMIM","Table","GMIM_COMP","VARCHAR","256","√","","null",""
"GMIM","Table","GMIM_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the GMIM table"
"GMIM","Table","GMIM_LAT","DOUBLE","22","√","","null","Latitude of ground motion value in WGS84 (deg)"
"GMIM","Table","GMIM_LON","DOUBLE","22","√","","null","Longitude of ground motion value in WGS84 (deg)"
"GMIM","Table","GMIM_METHOD","VARCHAR","1000","√","","null","Description of method used to estimate GMIM"
"GMIM","Table","GMIM_STDDEV","FLOAT","12","√","","null","Standard deviation of the GMIM estimation at the site"
"GMIM","Table","GMIM_TYPE","VARCHAR","256","√","","null","Type of intensity measure (e.g., PGA, PGV, SA0.1, SA1.0, CAV5)"
"GMIM","Table","GMIM_UNIT","VARCHAR","10","√","","null","Units of the intensity measure"
"GMIM","Table","GMIM_VALUE","FLOAT","12","√","","null","Value of intensity measure"
"GRAG","Table","GRAG_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the GRAG table"
"GRAT","Table","GRAG_ID","INT UNSIGNED","10","√","","null",""
"GRAG","Table","GRAG_METH","VARCHAR","1000","√","","null","Method used for particle distribution analysis"
"GRAG","Table","GRAG_REM","VARCHAR","1000","√","","null","Remarks"
"GRAT","Table","GRAT_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the GRAT table"
"GRAT","Table","GRAT_PERP","FLOAT","12","√","","null","Percentage passing/finer than sieve size (%)"
"GRAT","Table","GRAT_SIZE","FLOAT","12","√","","null","Sieve or particle size in mm"
"GSWD","Table","GSWD_FREQ","FLOAT","12","√","","null","Frequency of dispersion curve in Hz"
"GSWD","Table","GSWD_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the GSWD table"
"GSWD","Table","GSWD_PHVL","FLOAT","12","√","","null","Average phase velocity of dispersion curve in m/s"
"GSWG","Table","GSWG_CONF","VARCHAR","1000","√","","null","Test configuration"
"GSWG","Table","GSWG_CREW","VARCHAR","100","√","","null","Name of logger / organization"
"GSWG","Table","GSWG_ENDD","DATETIME","19","√","","null","End date of activity"
"GSWD","Table","GSWG_ID","INT UNSIGNED","10","√","","null",""
"GSWG","Table","GSWG_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the GSWG table"
"SWVG","Table","GSWG_ID","INT UNSIGNED","10","√","","null",""
"GSWG","Table","GSWG_STAR","DATETIME","19","√","","null","Start date of activity"
"GSWG","Table","GSWG_TYPE","VARCHAR","50","√","","null","Test type (e.g., SASW, MASW, Other)"
"password_resets","Table","hash","VARCHAR","255","","","null",""
"EVNT","Table","HYPO_DT","FLOAT","12","√","","null","Hypocenter Depth (km)"
"EVNT","Table","HYPO_LAT","DOUBLE","22","√","","null","Hypocenter Latitude (deg)"
"EVNT","Table","HYPO_LON","DOUBLE","22","√","","null","Hypocenter Longitude (deg)"
"password_resets","Table","id","INT","10","","√","null","Unique ID (primary key) for entries in the password_resets table"
"IM","Table","IM_AZIMUTH","FLOAT","12","√","","null","Source to Site Azimuth (deg) - Used to assess HW/FW locations"
"IM","Table","IM_CLST","FLOAT","12","√","","null","Closest distance from the recording site to the ruptured fault area (km)"
"IM","Table","IM_EPI","FLOAT","12","√","","null","Epicentral distance (km)"
"IM","Table","IM_HYPO","FLOAT","12","√","","null","Hypocentral distance (km)"
"IM","Table","IM_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the IM table"
"IM","Table","IM_R","FLOAT","12","√","","null","Campbell Distance, R (km)"
"IM","Table","IM_RJB","FLOAT","12","√","","null","Joyner and Boore (1981) Distance (km)"
"IM","Table","IM_RMS","FLOAT","12","√","","null","Root-mean-squared distance (km)"
"IM","Table","IM_RX","FLOAT","12","√","","null","Horizontal distance (km) from top edge of rupture. Measured perpendicular to the fault strike (km)"
"INDX","Table","INDX_BDEN","FLOAT","12","√","","null","Total density of soil in g/cm3"
"INDX","Table","INDX_DDEN","FLOAT","12","√","","null","Dry density of soil in g/cm3"
"INDX","Table","INDX_FINE","FLOAT","12","√","","null","Fines content (Portion of particles passing the No.200 sieve; 0.075 mm) (%)"
"INDX","Table","INDX_GS","FLOAT","12","√","","null","Specific gravity of solid particles in g/cm3"
"INDX","Table","INDX_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the INDX table"
"INDX","Table","INDX_METH","VARCHAR","1000","√","","null","Method (Standard) used for index tests if different from recommended standards (density: ASTM D7263-09; water content: ASTM D2216-10; Atterberg limits: ASTM D4318-10e1)"
"INDX","Table","INDX_REM","VARCHAR","1000","√","","null","Remarks"
"INDX","Table","INDX_WC","FLOAT","12","√","","null","Natural water (moisture) content (%)"
"ISPT","Table","ISPT_EMET","VARCHAR","1000","√","","null","Method used to define the energy ratio value"
"ISPT","Table","ISPT_ERAT","FLOAT","12","√","","null","Hammer drop energy ratio (%)"
"ISPT","Table","ISPT_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the ISPT table"
"ISPT","Table","ISPT_NVAL","INT","10","√","","null","Number of blow counts for main drive"
"ISPT","Table","ISPT_REM","VARCHAR","1000","√","","null","Remarks"
"ISPT","Table","ISPT_RODL","FLOAT","12","√","","null","Rod length in m"
"ISPT","Table","ISPT_TOP","FLOAT","12","√","","null","Depth of the top of main blows in m"
"ISPT","Table","ISPT_TPEN","FLOAT","12","√","","null","Penetration depth from depth top in cm (main drive only; e.g., 30 cm)"
"LAB","Table","LAB_DESC","VARCHAR","1000","√","","null","Description of the laboratory"
"SAMP_LAB","Table","LAB_ID","INT UNSIGNED","10","√","","null","Lab table ID"
"LAB","Table","LAB_ID","INT UNSIGNED","10","","√","null","Primary Key"
"LAB","Table","LAB_LAT","DOUBLE","22","√","","null","Latitude of the laboratory in decimal degrees"
"LAB","Table","LAB_LON","DOUBLE","22","√","","null","Longitude of the laboratory in decimal degrees"
"LAB","Table","LAB_NAME","VARCHAR","64","√","","null","Name of the laboratory"
"USER","Table","last_name","VARCHAR","30","√","","null","Last name"
"EVNT","Table","MAG_TY","VARCHAR","30","√","","null","Magnitude Type"
"EVNT","Table","MAG_UNCK","FLOAT","12","√","","null","Magnitude Uncertainty: Kagan Model"
"EVNT","Table","MAG_UNCST","FLOAT","12","√","","null","Magnitude Uncertainty: Statistical"
"phinxlog","Table","migration_name","VARCHAR","100","√","","null",""
"USER","Table","num_download","INT","10","√","","null","Number of downloads"
"USER","Table","num_upload","INT","10","√","","null","Number of uploads"
"USER","Table","num_visit","INT","10","√","","null","Number of visits"
"OBSC","Table","OBSC_COM","VARCHAR","1000","√","","null","Comment to FLDO (Observation)"
"OBSC","Table","OBSC_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the OBSC table"
"OBSM","Table","OBSM_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the OBSM table"
"CREO","Table","OBSM_ID","INT UNSIGNED","10","√","","null",""
"OBSR","Table","OBSR_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the OBSR table"
"USER","Table","organ","VARCHAR","30","√","","null","Organization"
"OTHF","Table","OTHF_DESC","VARCHAR","1000","√","","null","Test description"
"OTHF","Table","OTHF_ENDD","DATETIME","19","√","","null","End date of activity"
"OTHF","Table","OTHF_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the OTHF table"
"OTHF","Table","OTHF_NAME","VARCHAR","100","√","","null","Name of the test uploaded"
"OTHF","Table","OTHF_STAR","DATETIME","19","√","","null","Start date of activity"
"OTHF","Table","OTHF_TYPE","VARCHAR","50","√","","null","Type of other field test (e.g. Pressuremeter, Dilatometer)"
"OTHR","Table","OTHR_DESC","VARCHAR","1000","√","","null","Test description"
"OTHR","Table","OTHR_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the OTHR table"
"OTHR","Table","OTHR_NAME","VARCHAR","100","√","","null","Name of the test uploaded"
"OTHR","Table","OTHR_TYPE","VARCHAR","50","√","","null","Test type (e.g., Consolidation, Triaxial-UU, Triaxial-CU, Triaxial, Triaxial-cyclic, Simple shear-monotonic, Simple shear-cyclic, Other)"
"PERM","Table","PERM_ADMIN","TINYINT","3","√","","null","Admin permission"
"PERM","Table","PERM_ESUP","TINYINT","3","√","","null","Event permission"
"PERM","Table","PERM_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the PERM table"
"PERM","Table","PERM_REVW","TINYINT","3","√","","null","Reviewer permission"
"IM","Table","PGA","FLOAT","12","√","","null","Peak Ground Acceleration (g)"
"IM","Table","PGD","FLOAT","12","√","","null","Peak Ground Displacement (m)"
"IM","Table","PGV","FLOAT","12","√","","null","Peak Ground Velocity (cm/s)"
"PLAS","Table","PLAS_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the PLAS table"
"PLAS","Table","PLAS_LL","FLOAT","12","√","","null","Liquid limit (%)"
"PLAS","Table","PLAS_METH","VARCHAR","1000","√","","null","Method (Standard) used for Atterberg limits"
"PLAS","Table","PLAS_PL","FLOAT","12","√","","null","Plastic limit (%)"
"PLAS","Table","PLAS_REM","VARCHAR","1000","√","","null","Remarks"
"RDEN","Table","RDEN_EMAX","FLOAT","12","√","","null","Maximum void ration"
"RDEN","Table","RDEN_EMIN","FLOAT","12","√","","null","Minimum void ratio"
"RDEN","Table","RDEN_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the RDEN table"
"RDEN","Table","RDEN_METH","VARCHAR","1000","√","","null","Method used"
"RDEN","Table","RDEN_REM","VARCHAR","1000","√","","null","Remarks"
"USER","Table","reg_date","DATETIME","19","√","","null","Registration date"
"USER","Table","region","VARCHAR","30","√","","null","Region"
"SITC","Table","REVW_COM","BIT","1","√","","null",""
"OBSC","Table","REVW_COM","BIT","1","√","","null",""
"TESC","Table","REVW_COM","BIT","1","√","","null",""
"SAMF","Table","SAMF_DESC","VARCHAR","1000","√","","null","Detailed description of the associated file (e.g., lab test report, charts, test photos)"
"SAMF","Table","SAMF_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the SAMF table"
"SAMP","Table","SAMP_BASE","FLOAT","12","√","","null","Depth to the base of sample in m"
"SAMP","Table","SAMP_DATE","DATETIME","19","√","","null","Date of sampling"
"SAMP","Table","SAMP_DESC","VARCHAR","1000","√","","null","Sample soil description (e.g., gray silty clay)"
"SPEC","Table","SAMP_ID","INT UNSIGNED","10","√","","null",""
"SAMP_TEST","Table","SAMP_ID","INT UNSIGNED","10","√","","null","Sample table ID"
"SAMP_LAB","Table","SAMP_ID","INT UNSIGNED","10","√","","null","Sample table ID"
"ISPT","Table","SAMP_ID","INT UNSIGNED","10","√","","null",""
"SAMF","Table","SAMP_ID","INT UNSIGNED","10","√","","null",""
"SAMP","Table","SAMP_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the SAMP table"
"SAMP_LAB","Table","SAMP_LAB_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the SAMP_LAB table"
"SAMP","Table","SAMP_NAME","VARCHAR","64","√","","null","Sample name"
"SAMP","Table","SAMP_REC","FLOAT","12","√","","null","Sample recovery rate (%)"
"SAMP","Table","SAMP_REM","VARCHAR","1000","√","","null","Remarks"
"SAMP","Table","SAMP_SDIA","FLOAT","12","√","","null","Sample diameter in mm"
"SAMP_TEST","Table","SAMP_TEST_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the SAMP_TEST table"
"SAMP","Table","SAMP_TOP","FLOAT","12","√","","null","Depth to the top of sample in m"
"SAMP","Table","SAMP_TYPE","VARCHAR","64","√","","null","Sampler type (e.g., Shelby tube, Split-barrel (SPT), Bulk (test pit), CPT sampler)"
"SCPG","Table","SCPG_CREW","VARCHAR","100","√","","null","Name of logger / organization"
"SCPG","Table","SCPG_CSA","FLOAT","12","√","","null","Surface area of cone tip in square centimeters (cm2)"
"SCPG","Table","SCPG_ENDD","DATETIME","19","√","","null","End date of activity"
"SCPG","Table","SCPG_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the SCPG table"
"SCPT","Table","SCPG_ID","INT UNSIGNED","10","√","","null",""
"SCPG","Table","SCPG_METH","VARCHAR","100","√","","null","Penetration method if different from the standard electronic CPT (i.e., ASTM D5778-12)"
"SCPG","Table","SCPG_PWP","VARCHAR","20","√","","null","Position of pore pressure measurement on cone (e.g., u2)"
"SCPG","Table","SCPG_RATE","FLOAT","12","√","","null","Nominal rate of penetration of the cone in cm/s"
"SCPG","Table","SCPG_REM","VARCHAR","1000","√","","null","Remarks"
"SCPG","Table","SCPG_STAR","DATETIME","19","√","","null","Start date of activity"
"SCPT","Table","SCPT_DPTH","FLOAT","12","√","","null","Depth of CPT measurement in m"
"SCPT","Table","SCPT_FRES","FLOAT","12","√","","null","Sleeve friction resistance (fs) in MPa"
"SCPT","Table","SCPT_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the SCPT table"
"SCPT","Table","SCPT_PWP","FLOAT","12","√","","null","Pore-water pressure in MPa"
"SCPT","Table","SCPT_RES","FLOAT","12","√","","null","Cone tip resistance (qc) in MPa"
"SEGM","Table","SEGM_DIP","FLOAT","12","√","","null","Segment Dip  (deg)"
"SEGM","Table","SEGM_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the SEGM table"
"SEGM","Table","SEGM_LENGTH","FLOAT","12","√","","null","Segment Length (km)"
